country,year,S,E,H,R_proxy
FRA,2002,3.1216666144933525,5.290608550183402,6.96906192449516,0.2597759435612227
FRA,2003,3.0407465101858753,5.305615750591948,6.94301280448115,0.22308527927359295
FRA,2004,2.996819101869388,5.358510306089031,7.026692423277967,0.22202788122629133
FRA,2005,2.9332370969038397,5.383964878939025,7.0064289987592225,0.21651846715103476
FRA,2006,2.90249923314456,5.452663592018581,7.01620589958191,0.18984565336585457
FRA,2007,3.0760164830507875,5.475387135086213,7.069100009997672,0.21759504327325346
FRA,2008,3.1028482907249875,5.507847166967568,7.04984705864781,0.22330554014335308
FRA,2009,3.3200394871361394,5.600351325154411,7.081732561505194,0.1708909550886436
FRA,2010,3.348827942064587,5.614513640053869,7.078397017909964,0.16408906085892522
FRA,2011,3.296489290388463,5.6410559495553665,7.147739116338864,0.17811566525325068
FRA,2012,3.384165867957857,5.667672934138635,7.131821708584213,0.15909577969091568
FRA,2013,3.32384969667708,5.680919378740616,7.179410016415102,0.1563625227811603
FRA,2014,3.3393816003322208,5.730871995508832,7.223662780650759,0.15915503640680695
FRA,2015,3.3837600869270092,5.728568335489956,7.220947338621463,0.21255471429804795
FRA,2016,3.2755105111618974,5.753992073228077,7.288799070971083,0.15478461743326632
FRA,2017,3.1540844662282614,5.764349037987834,7.3194594978784515,0.13734205131356322
FRA,2018,3.197809375285381,5.744271480017235,7.333504381140642,0.13331094326819173
FRA,2019,3.0079069070652475,5.724726918565513,7.334484559543551,0.14660621376908523
FRA,2020,3.0820944442889173,5.886527600516611,7.430954416853229,0.13135052503611194
FRA,2021,2.891935058144545,5.927296662713562,7.332373141822333,0.14103932065008934
FRA,2022,2.8767463758162437,5.846726761956376,7.321437868537234,0.16146532452252926
GBR,2000,3.398201733852792,3.943269818849376,6.419587552410577,0.20994422266571455
GBR,2001,3.1670478205815074,4.0688953548813425,6.49257937131756,0.2232496555274902
GBR,2002,3.0230437814137057,4.397513523028947,6.7309636377632,0.2604695722332852
GBR,2003,2.95248488392629,4.5644218561972325,6.775066652855543,0.23487387680343072
GBR,2004,2.937024234115916,4.620208761737003,6.728533424275131,0.20927818137357615
GBR,2005,3.0307512748925225,4.753040435240092,6.835516959357783,0.18368248594372164
GBR,2006,3.1455835763977595,4.8309990134283884,6.816741680926923,0.18910034601954684
GBR,2007,2.9796785561012706,4.8915422155672434,6.7754045900723066,0.19043711928823792
GBR,2008,3.167685602076787,4.924145677893245,6.734810369438023,0.15931674195021356
GBR,2009,3.430310229524037,5.053578414346002,6.870461131332777,0.14326876470234196
GBR,2010,3.2061328162573703,5.344752419494121,7.154109579837782,0.15526556479780446
GBR,2011,3.2067184205062245,5.292843488646575,7.169076250508664,0.12460686182311531
GBR,2012,3.1930771415020667,5.316346246418363,7.143732272061797,0.12022961490161174
GBR,2013,3.092282281244574,5.3443380339656334,7.235622823963286,0.11299276802155929
GBR,2014,2.9585056583411022,5.417877942255454,7.32150200743506,0.10746926214145539
GBR,2015,2.9025659214086916,5.416380620040402,7.273392807304013,0.11512044350973782
GBR,2016,2.8127152092348044,5.373876864607425,7.2503882485550335,0.15099441881016393
GBR,2017,2.7005024719846755,5.398288518583732,7.322587725566209,0.15137690666985854
GBR,2018,2.7931701378052685,5.329379338191287,7.275753468393748,0.1378292216777999
GBR,2019,2.657905297359199,5.405483774857662,7.361307454973631,0.14736070761217263
GBR,2020,2.931689463088678,5.704704627927245,7.387553955491473,0.11472278533461457
GBR,2021,2.6199466324145804,6.049087594778733,7.6124436774412345,0.1423108057353944
GBR,2022,2.5700653900014556,5.9326143642439,7.675327902921002,0.1423108057353944
SWE,2000,2.227234574675951,5.354717905749467,7.907485993606772,0.13646458884809243
SWE,2001,2.157772869296801,5.434603105297694,7.83996294193036,0.11985824670076098
SWE,2002,2.1392463835664093,5.657651165116971,7.8928301114969175,0.14437908327058258
SWE,2003,2.124481395085504,5.662670190489584,7.809660801699118,0.11520903473269742
SWE,2004,2.2868183414301404,5.646416808406857,7.7592266982615925,0.15364300819618115
SWE,2005,2.5020028345940046,5.628710578443993,7.675818261812153,0.11047896843462272
SWE,2006,2.351237645471339,5.626578432466739,7.555037210601683,0.12371450019750235
SWE,2007,2.3487277103608557,5.5872277703433975,7.460409609993246,0.1574143142856695
SWE,2008,2.5276405527121764,5.683058436169579,7.536724746104103,0.10572401125516646
SWE,2009,2.7421149665687157,5.859470955623654,7.707826117198575,0.1233956459282772
SWE,2010,2.6333627069828665,5.771100985425069,7.582304202536192,0.11864033596696659
SWE,2011,2.5789266722444477,6.189540033042149,7.633633494228238,0.10059100762295341
SWE,2012,2.660543416063462,6.73760981285793,8.119420083191898,0.0777926877286024
SWE,2013,2.759971547852741,6.805561053126365,8.198241528207271,0.1084062939643006
SWE,2014,2.6926117781236814,6.842726808800351,8.233218670704687,0.10697756997098726
SWE,2015,2.677425291143693,6.827759323168519,8.199840247055345,0.1461774168572989
SWE,2016,2.710934576558378,6.915394382839015,8.274077559187948,0.13425499163580015
SWE,2017,2.6093849772998694,6.924657518237249,8.355525905948168,0.14307909907464267
SWE,2018,2.6858022867980553,6.992980462076173,8.417892490313946,0.13316804268606663
SWE,2019,2.6518490768626792,6.982499189190615,8.51324583665488,0.1361159366745779
SWE,2020,2.847794868828783,7.144792469492233,8.597675827514314,0.15490888102746256
SWE,2021,2.862994091532765,7.058099635507079,8.521555937040446,0.13691328440887798
SWE,2022,2.957074226831211,6.873796769787005,8.54087500790393,0.1403022605428203
NOR,2000,2.0778341505189766,6.419836371901355,7.362573835380264,0.13435722488370608
NOR,2001,2.134530537868904,6.683357547501243,7.606412857964738,0.0946115346899234
NOR,2002,2.184942048782175,7.164036220975119,7.920019579843412,0.12555344838120627
NOR,2003,2.221732660114447,7.2068668217902045,7.903103064409123,0.10723295106809834
NOR,2004,2.5598609489550257,7.177283031528393,7.868943566987706,0.0889124537549904
NOR,2005,2.501573577149542,6.9506278725129205,7.691210990128631,0.07770952754589341
NOR,2006,1.9919878485209133,6.710231037077572,7.454030664992927,0.07679629111797387
NOR,2007,1.9569109232079973,6.861590081859746,7.523997808463318,0.06546734444275201
NOR,2008,1.9967112101215336,6.704388298217251,7.3729904783930955,0.07759290727051568
NOR,2009,2.0252897083215666,7.180456324807956,7.731025826925188,0.05964494415540059
NOR,2010,1.9755569740714112,6.974726435406677,7.6272050834234735,0.05845837561267268
NOR,2011,1.8957216199562161,6.8156579486740085,7.602333351655633,0.3213961139601891
NOR,2012,1.8992583555977238,7.252310048422171,8.045546337803012,0.04966128264576691
NOR,2013,2.027661050925291,7.324791620369197,8.197405870169462,0.10829430853023973
NOR,2014,2.0536459999980954,7.524228658621091,8.354627354988168,0.05388545342297815
