country,year,S,E,H,R
USA,2000,3.593700898308189,9.525264996412881,6.905310996195624,0.30786773090079755
USA,2001,3.770470334102071,9.40177303917698,6.936355323647617,0.33067274800456126
USA,2002,3.845790627544625,9.389868869452325,6.9503715457493875,0.46750285062713814
USA,2003,3.8848584790760663,9.470482904633034,6.94412600781611,0.7867730900798158
USA,2004,3.791338478841631,9.478509684766241,6.980470012810199,0.7867730900798158
USA,2005,3.8282671494609968,9.469993064219175,6.977458129561747,0.6157354618015951
USA,2006,3.831988427084644,9.490578954481752,6.966609899103439,0.6955530216647645
USA,2007,3.787950161769806,9.603689501658712,6.985658729693292,0.604332953249715
USA,2008,3.9410914223972844,9.623136407222496,7.016318438799874,0.3990877993158506
USA,2009,4.326431623066518,9.645863415589956,7.08464589312311,0.2622576966932737
USA,2010,4.20532469746815,9.65243156880101,7.136440821100543,0.2736602052451538
USA,2011,4.249306886697738,9.637441462797241,7.164968844308487,0.2850627137970356
USA,2012,4.145770873573106,9.627761293580456,7.181175526954594,0.2964652223489175
USA,2013,4.047648315036798,9.66827366018315,7.193770675084489,0.25085518814139185
USA,2014,3.9931062273242643,9.657085234071818,7.199572670145017,0.25085518814139185
USA,2015,3.8748646855628763,9.653107125273621,7.197063104415005,0.25085518814139185
USA,2016,3.8328775795008285,9.558212931056556,7.1407731596912996,0.2736602052451538
USA,2017,3.7764535160532438,9.133643976494572,7.288519374147055,0.36488027366020503
USA,2018,3.756425978580582,9.101186046203633,7.2415876716339325,0.4561003420752545
USA,2019,3.7480092523832664,9.118386242736722,7.290882506319178,0.5017103762827819
USA,2020,4.101125630492688,9.088555963095327,7.338159219255975,0.6613454960091207
USA,2021,3.6430161911651364,9.312886858714053,7.27974550642094,0.4218928164196125
USA,2022,3.7292661248576486,9.374017141877859,7.3782099869086055,0.35347776510832496
CAN,2000,3.2235958778990135,9.203127340451257,7.607520714685028,0.44469783352337444
CAN,2001,3.3431493531271648,9.167640858184416,7.432219333445212,0.4789053591790182
CAN,2002,3.3694581983381116,9.131932970922726,7.469703363959188,0.5017103762827819
CAN,2003,3.3968151187353377,9.131932970922726,7.440260505287735,0.5017103762827819
CAN,2004,3.334624535625189,9.168889864626115,7.42968513685393,0.5017103762827819
CAN,2005,3.2695791872840916,9.168863104652376,7.400261116045434,0.5017103762827819
CAN,2006,3.3003873288243044,9.193584098024283,7.409788491554131,0.5017103762827819
CAN,2007,3.247361472064614,9.206950465343924,7.387986396474251,0.4789053591790182
CAN,2008,3.290686920706416,9.186352303255495,7.333720495359704,0.4789053591790182
CAN,2009,3.594664614434065,9.1875279444882,7.4498146633502484,0.4789053591790182
CAN,2010,3.4213152521636534,9.204765940665983,7.689502880817656,0.4789053591790182
CAN,2011,3.2760399286776782,9.156261939926104,7.678328512409069,0.4789053591790182
